feature_id,total_times_active,average_activated_value,std_activated_value,total_times_active_hot,average_activated_value_hot,std_activated_value_hot,total_times_active_cold,average_activated_value_cold,std_activated_value_cold,delta_total_times_active,delta_average_activated_value
20886,83,2.347946,1.931922,80,2.378265,1.959657,3,1.539428,0.41933,77,0.838837
8449,1181,1.66687,1.522437,552,1.619439,1.512434,629,1.708494,1.529951,-77,-0.089056
8735,283,0.674853,0.613145,180,0.73056,0.650546,103,0.577502,0.527684,77,0.153058
20493,154,1.539147,0.939827,115,1.44695,0.859654,39,1.811009,1.09987,76,-0.36406
22543,902,13.194818,12.489608,489,12.308653,12.380077,413,14.244056,12.537339,76,-1.935403
302,1655,2.746909,2.161811,790,2.60225,2.167405,865,2.879026,2.148195,-75,-0.276776
11522,243,1.04996,0.994647,159,1.083089,1.045576,84,0.987252,0.886923,75,0.095837
13997,1321,320.427646,181.39757,698,303.219922,190.663753,623,339.706927,168.341939,75,-36.487006
1732,125,0.409642,0.320131,100,0.439134,0.322616,25,0.291675,0.280529,75,0.14746
15099,301,1.855712,1.576476,113,2.05458,1.852138,188,1.73618,1.370812,-75,0.318399
12601,89,0.414765,0.314549,7,0.337,0.174417,82,0.421404,0.322847,-75,-0.084403
2083,126,1.85872,1.436519,100,1.969921,1.572896,26,1.431025,0.504571,74,0.538896
15387,926,4.211868,2.89824,426,3.754975,2.633312,500,4.601141,3.052701,-74,-0.846166
19945,660,3.674306,2.429167,367,3.585255,2.303097,293,3.785846,2.574052,74,-0.200591
14118,148,0.701229,0.627936,37,0.570909,0.618147,111,0.744669,0.625158,-74,-0.173759
16266,198,1.411537,1.155111,136,1.624632,1.189229,62,0.944103,0.91691,74,0.680529
1653,86,4.083926,2.505109,80,4.266319,2.501087,6,1.65202,0.431595,74,2.614299
10622,154,2.527702,1.720719,114,2.664449,1.833679,40,2.137973,1.26941,74,0.526476
18600,105,1.056662,0.633642,89,1.03329,0.589482,16,1.186669,0.825838,73,-0.153379
11717,89,1.207479,1.073716,81,1.265962,1.092036,8,0.615346,0.604889,73,0.650616
18962,81,3.102893,3.526833,77,2.599058,2.796988,4,12.801708,1.526983,73,-10.202649
17076,253,0.815855,0.668958,90,0.810182,0.703378,163,0.818987,0.64915,-73,-0.008806
23029,778,3.223942,2.386729,353,2.51545,1.94482,425,3.812407,2.554042,-72,-1.296957
