feature_id,total_times_active,average_activated_value,std_activated_value,total_times_active_hot,average_activated_value_hot,std_activated_value_hot,total_times_active_cold,average_activated_value_cold,std_activated_value_cold,delta_total_times_active,delta_average_activated_value
235,260,34.390058,19.257709,81,37.641783,22.058382,179,32.918607,17.650715,-98,4.723176
1549,254,32.402838,7.14899,176,32.437708,7.638425,78,32.324157,5.896475,98,0.113551
797,124,24.327585,8.694174,14,24.480096,6.797679,110,24.308174,8.906438,-96,0.171922
7464,179,39.08419,12.259302,42,31.371149,6.598742,137,41.448772,12.616914,-95,-10.077624
49,1451,41.851692,23.1823,678,38.620786,20.36548,773,44.685526,25.056404,-95,-6.06474
302,375,34.747749,16.534309,140,33.181913,17.386734,235,35.680587,15.931933,-95,-2.498674
1160,434,29.078293,9.513618,264,28.651392,8.881738,170,29.741245,10.384471,94,-1.089853
626,474,36.777659,20.143639,190,39.231614,22.191515,284,35.135928,18.467285,-94,4.095686
490,1833,72.479773,53.25706,963,67.548016,50.324156,870,77.938717,55.819894,93,-10.390701
572,157,26.985497,11.85685,32,23.766023,10.435524,125,27.809683,12.056676,-93,-4.04366
1418,1293,37.220788,17.155669,600,36.876865,15.694814,693,37.518557,18.321449,-93,-0.641692
288,475,25.855967,13.512052,191,22.538258,8.111138,284,28.087243,15.771374,-93,-5.548985
376,596,33.714269,17.377045,344,33.218163,16.85436,252,34.391493,18.044152,92,-1.17333
392,1256,213.241165,154.637384,582,213.172494,148.28147,674,213.300463,159.922591,-92,-0.12797
1331,144,41.538301,11.289903,118,44.390098,10.031167,26,28.595531,6.696107,92,15.794567
1497,376,32.043573,7.073041,143,32.778591,8.000546,233,31.592467,6.396276,-90,1.186124
651,117,23.568494,9.852934,14,19.509798,5.397812,103,24.120161,10.186855,-89,-4.610363
2358,127,28.828466,7.954631,19,22.803629,4.234487,108,29.888392,7.983999,-89,-7.084763
2467,193,35.8078,13.637153,141,38.81396,14.757815,52,27.656483,2.95626,89,11.157476
10498,95,37.40161,11.616015,3,35.247543,19.001858,92,37.471851,11.287226,-89,-2.224308
3317,109,35.022998,8.388603,10,30.934494,7.342338,99,35.435978,8.376881,-89,-4.501484
1652,168,34.021124,9.063648,40,32.525547,8.532492,128,34.488491,9.173495,-88,-1.962944
36,487,34.409748,15.944093,287,35.80923,15.345272,200,32.401491,16.560727,87,3.407739
479,501,34.043018,19.376594,294,36.405839,21.439468,207,30.687126,15.384242,87,5.718713
1390,303,36.051411,11.249216,195,35.273145,11.101333,108,37.456615,11.377366,87,-2.18347
445,281,35.486892,22.594962,184,37.98133,23.345502,97,30.755174,20.271522,87,7.226156
1140,339,33.56651,9.917304,126,30.512635,8.320383,213,35.373028,10.334452,-87,-4.860393
200,2428,185.186827,124.136419,1171,183.553784,119.762831,1257,186.708142,128.057742,-86,-3.154358
317,774,58.763975,43.450466,430,47.887124,34.564611,344,72.360039,49.211239,86,-24.472915
691,626,32.297535,13.319579,356,30.893619,12.32814,270,34.148624,14.314795,86,-3.255005
2103,140,35.846661,10.546506,113,36.172066,9.841045,27,34.484781,13.004802,86,1.687285
573,254,37.347808,35.211898,170,34.568417,30.521414,84,42.972767,42.621435,86,-8.40435
9825,278,30.745064,10.118107,96,28.776147,7.871752,182,31.783614,10.980378,-86,-3.007467
258,385,37.485795,21.393201,235,36.34536,20.205151,150,39.272477,23.018803,85,-2.927117
1361,1183,32.372501,3.584342,549,32.379049,3.231462,634,32.366831,3.863954,-85,0.012218
407,137,28.522673,15.241706,111,29.600072,15.052928,26,23.923009,15.185936,85,5.677063
137,282,29.703897,12.749916,183,29.798987,12.846169,99,29.528126,12.568158,84,0.270862
53,318,47.09375,38.07197,201,52.479084,40.821327,117,37.84202,30.682627,84,14.637064
41,418,32.05499,15.612013,167,33.596519,16.382493,251,31.029351,14.990018,-84,2.567168
848,1331,55.498111,35.878314,707,57.687932,40.400889,624,53.017016,29.745578,83,4.670916
15984,597,33.678572,6.957721,257,33.289758,6.716234,340,33.972471,7.12076,-83,-0.682713
1542,109,31.894818,8.854811,13,31.690711,8.357381,96,31.922457,8.91968,-83,-0.231746
148,1148,50.961925,32.158948,615,54.500055,34.120713,533,46.879468,29.207161,82,7.620587
369,288,37.705224,20.798676,185,40.359762,22.095889,103,32.937365,17.241057,82,7.422397
14854,324,31.078057,6.394419,121,31.010945,6.307947,203,31.11806,6.445076,-82,-0.107116
809,328,33.251313,13.903342,205,35.026979,14.627009,123,30.291869,12.036561,82,4.73511
1239,211,31.47367,8.706275,65,26.237599,5.058427,146,33.804798,8.972935,-81,-7.567198
14043,1945,44.382312,9.405569,1012,44.761879,10.160906,933,43.970606,8.491657,79,0.791273
34,643,37.461194,22.451341,361,37.259843,21.754904,282,37.718953,23.309997,79,-0.45911
656,327,35.916361,15.759149,124,33.286336,14.018869,203,37.522879,16.52875,-79,-4.236544
123,3824,77.113319,91.865306,1873,74.376863,88.882701,1951,79.740374,94.565803,-78,-5.363511
4300,204,36.028397,11.903623,141,37.618089,12.141131,63,32.470515,10.516674,78,5.147574
152,407,42.613176,21.276921,165,47.335272,26.121924,242,39.393565,16.448716,-77,7.941707
735,269,30.51576,10.132548,96,30.59764,10.676384,173,30.470324,9.817485,-77,0.127316
12837,103,39.15129,14.021688,90,40.075251,14.420746,13,32.75464,8.438146,77,7.320611
2750,229,29.865775,6.482877,76,29.311585,6.34423,153,30.141059,6.533204,-77,-0.829474
514,546,50.173081,32.348766,311,46.059049,28.884336,235,55.617607,35.709171,76,-9.558558
1010,556,31.386342,12.040912,240,31.394581,11.986894,316,31.380084,12.081773,-76,0.014497
7030,1326,29.075858,7.616843,701,29.671237,8.272966,625,28.40808,6.743839,76,1.263157
13756,1270,28.920769,7.008627,597,28.07035,5.707283,673,29.675152,7.91134,-76,-1.604801
1145,410,32.180911,7.498113,167,30.98051,6.100641,243,33.005878,8.222597,-76,-2.025368
2391,90,26.766985,4.926021,83,26.894123,4.998006,7,25.259496,3.65116,76,1.634627
574,1015,38.138232,18.898292,470,37.304587,18.568761,545,38.857155,19.148806,-75,-1.552568
452,185,56.150118,76.798596,55,51.966733,89.912791,130,57.920012,70.445162,-75,-5.953279
9553,221,30.14089,9.29892,148,30.870846,10.127635,73,28.66098,7.110576,75,2.209866
3899,97,34.954825,12.106625,11,29.041409,5.490369,86,35.711192,12.506689,-75,-6.669782
5061,129,30.885354,7.617735,27,29.359578,7.827663,102,31.289236,7.509477,-75,-1.929658
771,269,24.66605,7.034972,172,24.74546,7.059147,97,24.52524,6.989682,75,0.220221
290,592,40.469625,23.905235,259,42.001713,24.694735,333,39.278,23.202835,-74,2.723712
3117,1134,31.708799,11.476283,530,31.365083,11.527837,604,32.010403,11.422337,-74,-0.645321
1036,670,35.076468,13.689731,372,34.9369,13.483414,298,35.250694,13.941037,74,-0.313795
1838,198,39.363472,21.102152,136,43.950414,23.641007,62,29.301794,6.980823,74,14.648619
3980,158,57.165285,26.686407,116,59.090695,27.786952,42,51.847489,22.540391,74,7.243206
